data,saldo_previsto
2023-07-01,187072.22923666667
2023-07-02,187976.05412333334
2023-07-03,188879.87901
2023-07-04,189783.70389666667
2023-07-05,190687.52878333334
2023-07-06,191591.35367
2023-07-07,192495.17855666665
2023-07-08,193399.00344333332
2023-07-09,194302.82833
2023-07-10,195206.65321666666
2023-07-11,196110.47810333333
2023-07-12,197014.30299
2023-07-13,197918.12787666667
2023-07-14,198821.95276333333
2023-07-15,199725.77765
2023-07-16,200629.60253666667
2023-07-17,201533.42742333334
2023-07-18,202437.25231
2023-07-19,203341.07719666668
2023-07-20,204244.90208333335
2023-07-21,205148.72697
2023-07-22,206052.55185666666
2023-07-23,206956.37674333333
2023-07-24,207860.20163
2023-07-25,208764.02651666666
2023-07-26,209667.85140333333
2023-07-27,210571.67629
2023-07-28,211475.50117666667
2023-07-29,212379.32606333334
2023-07-30,213283.15095
